,2020-10-25,2019-10-27,2018-10-28,2017-10-29
Investments,399000000.0,26000000.0,1199000000.0,-2113000000.0
Change To Liabilities,311000000.0,-112000000.0,245000000.0,504000000.0
Total Cashflows From Investing Activities,-130000000.0,-443000000.0,571000000.0,-2526000000.0
Net Borrowings,97000000.0,97000000.0,97000000.0,1971000000.0
Total Cash From Financing Activities,-1337000000.0,-3115000000.0,-5928000000.0,341000000.0
Change To Operating Activities,-91000000.0,-88000000.0,-174000000.0,-115000000.0
Issuance Of Stock,174000000.0,145000000.0,124000000.0,97000000.0
Net Income,3619000000.0,2706000000.0,3038000000.0,3519000000.0
Change In Cash,2337000000.0,-311000000.0,-1570000000.0,1604000000.0
Repurchase Of Stock,-821000000.0,-2489000000.0,-5447000000.0,-1297000000.0
Total Cash From Operating Activities,3804000000.0,3247000000.0,3787000000.0,3789000000.0
Depreciation,376000000.0,363000000.0,457000000.0,407000000.0
Dividends Paid,-787000000.0,-771000000.0,-605000000.0,-430000000.0
Change To Inventory,-421000000.0,248000000.0,-1014000000.0,-809000000.0
Change To Account Receivables,-427000000.0,-207000000.0,16000000.0,-37000000.0
Change To Netincome,447000000.0,293000000.0,333000000.0,199000000.0
Capital Expenditures,-422000000.0,-441000000.0,-622000000.0,-345000000.0
